Master Customer Name,Master Customer Name Canonical,Industrial Group,Industry Detail,NAICS,Method,Confidence,Rationale,Support Category,Company Website,IsMerge,MergeGroupSize
Infiniti Plastics and Engineering,INFINITI PLASTICS AND ENGINEERING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Infiniti Plastics & Engineering Inc'),,,FALSE,1
Infinity Global Dayton DC,INFINITY GLOBAL DAYTON DC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Infinity Global Dayton Dc'),,,FALSE,1
Infintech,INFINTECH,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Infintech'),,,FALSE,1
Ingersoll-Rand,INGERSOLL-RAND,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ingersoll-Rand'),,,TRUE,2
Ingredion,INGREDION,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ingredion Incorporated'),,,FALSE,1
Innerwood and,INNERWOOD AND,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Innerwood & Company'),,,FALSE,1
Innovative Energy Solutions,INNOVATIVE ENERGY SOLUTIONS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Innovative Energy Solutions'),,,FALSE,1
Insight Energy Solutions,INSIGHT ENERGY SOLUTIONS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Insight Energy Solutions'),,,FALSE,1
Intelligrated,INTELLIGRATED,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Intelligrated'),,,FALSE,1
International Paper,INTERNATIONAL PAPER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'International Paper'),,,FALSE,1
International Truck,INTERNATIONAL TRUCK,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'International Truck'),,,FALSE,1
Interplastic,INTERPLASTIC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Interplastic Corporation'),,,FALSE,1
Intertech Mechanical Services,INTERTECH MECHANICAL SERVICES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Intertech Mechanical Services'),,,FALSE,1
Intralot,INTRALOT,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Intralot, Inc.')",,,TRUE,2
Inx International,INX INTERNATIONAL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Inx International'),,,FALSE,1
Ipeg Billing,IPEG BILLING,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Ipeg, Inc - Billing')",,,FALSE,1
Itw,ITW,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Itw'),,,FALSE,1
Itw Food Equipment Group,ITW FOOD EQUIPMENT GROUP,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Itw Food Equipment Group'),,,FALSE,1
Ivan Funk,IVAN FUNK,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ivan Funk Llc'),,,FALSE,1
Ivax Pharmaceuticals,IVAX PHARMACEUTICALS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ivax Pharmaceuticals'),,,FALSE,1
Ivey Mechanical,IVEY MECHANICAL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ivey Mechanical Company Llc'),,,FALSE,1
J and F Mechanical,J AND F MECHANICAL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'J&F Mechanical'),,,FALSE,1
J and J General Maintenance,J AND J GENERAL MAINTENANCE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'J&J General Maintenance Inc'),,,FALSE,1
J and N Distribution and Design,J AND N DISTRIBUTION AND DESIGN,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'J&N Distribution & Design, Inc.')",,,FALSE,1
Ja Fielden,JA FIELDEN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ja Fielden'),,,FALSE,1
Jabil Circuit,JABIL CIRCUIT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jabil Circuit Inc'),,,FALSE,1
Jack Albrecht,JACK ALBRECHT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jack Albrecht'),,,FALSE,1
Jack Albrecht Residents,JACK ALBRECHT RESIDENTS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jack Albrecht Residents'),,,FALSE,1
Jackson Control,JACKSON CONTROL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jackson Control Co Inc'),,,FALSE,1
Jaguar Land Rover Cincinnati,JAGUAR LAND ROVER CINCINNATI,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jaguar Land Rover Cincinnati'),,,FALSE,1
Jamie Endaya,JAMIE ENDAYA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jamie Endaya'),,,FALSE,1
Janell Concrete,JANELL CONCRETE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Janell Concrete'),,,FALSE,1
Jay Hewitt,JAY HEWITT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jay Hewitt'),,,FALSE,1
Jayco Cleaning Technologies,JAYCO CLEANING TECHNOLOGIES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jayco Cleaning Technologies'),,,FALSE,1
Jdl Warm,JDL WARM,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jdl Warm'),,,FALSE,1
Jeff Wyler Fairfield,JEFF WYLER FAIRFIELD,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jeff Wyler Fairfield'),,,FALSE,1
Jeffersonville Animal Shelter,JEFFERSONVILLE ANIMAL SHELTER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jeffersonville Animal Shelter'),,,FALSE,1
Jennifer Banner Residence,JENNIFER BANNER RESIDENCE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jennifer Banner Residence'),,,FALSE,1
Jennifer Hawkins State Farm,JENNIFER HAWKINS STATE FARM,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jennifer Hawkins State Farm'),,,FALSE,1
Jerrod Herron,JERROD HERRON,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jerrod Herron'),,,FALSE,1
Jerry R Smith Architect,JERRY R SMITH ARCHITECT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jerry R Smith Architect'),,,FALSE,1
Jf Berns,JF BERNS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jf Berns'),,,FALSE,1
Jfk Enterprises,JFK ENTERPRISES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jfk Enterprises Llc'),,,FALSE,1
Jm Smucker,JM SMUCKER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'J.M. Smucker Company'),,,TRUE,2
Jml Capital,JML CAPITAL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jml Capital Llc'),,,FALSE,1
Jn Linrose,JN LINROSE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'J.N. Linrose'),,,FALSE,1
Johnson and Galyon,JOHNSON AND GALYON,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Johnson & Galyon, Inc.')",,,FALSE,1
Johnsonnorthwest,JOHNSONNORTHWEST,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Johnson-Northwest, Inc')",,,FALSE,1
Jones Lang Lasalle Americas,JONES LANG LASALLE AMERICAS,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Jones Lang Lasalle Americas, Inc')",,,FALSE,1
Jones Lang Lasalle JLL Amazon,JONES LANG LASALLE JLL AMAZON,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jones Lang Lasalle - Jll Amazon'),,,FALSE,1
Joseph Grenvicz,JOSEPH GRENVICZ,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Joseph Grenvicz'),,,FALSE,1
Joy Global Underground Mining,JOY GLOBAL UNDERGROUND MINING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Joy Global Underground Mining Llc'),,,FALSE,1
Js Held,JS HELD,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Js Held Llc'),,,FALSE,1
Jtekt North America,JTEKT NORTH AMERICA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jtekt North America'),,,FALSE,1
Jw Harris,JW HARRIS,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Jw Harris Co., Inc.')",,,FALSE,1
Jw Marriot,JW MARRIOT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'J.W. Marriot'),,,FALSE,1
Jwf Technologies,JWF TECHNOLOGIES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Jwf Technologies'),,,FALSE,1
K and L Allstar Investments,K AND L ALLSTAR INVESTMENTS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'K&L Allstar Investments Llc C/O Equity'),,,FALSE,1
K4 Architecture,K4 ARCHITECTURE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'K4 Architecture'),,,FALSE,1
KY Smelting Technolgies,KY SMELTING TECHNOLGIES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ky Smelting Technolgies'),,,FALSE,1
Kaeser and Blair,KAESER AND BLAIR,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kaeser & Blair'),,,FALSE,1
Kajima Building and Design Group,KAJIMA BUILDING AND DESIGN GROUP,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Kajima Building & Design Group, Inc')",,,TRUE,2
Kao Brands,KAO BRANDS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kao Brands'),,,FALSE,1
Karen Harbin,KAREN HARBIN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Karen Harbin'),,,FALSE,1
Karla Ricking,KARLA RICKING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Karla Ricking'),,,FALSE,1
Kay Robinson,KAY ROBINSON,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kay Robinson'),,,FALSE,1
Kbc Buyer Dba Klosterman Baking,KBC BUYER DBA KLOSTERMAN BAKING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kbc Buyer Inc Dba Klosterman Baking Company'),,,FALSE,1
Kbd Group,KBD GROUP,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kbd Group Inc'),,,FALSE,1
Kdc One,KDC ONE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kdc One'),,,FALSE,1
Keenland Heights,KEENLAND HEIGHTS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Keenland Heights Llc'),,,FALSE,1
Keidel Supply,KEIDEL SUPPLY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Keidel Supply Company'),,,FALSE,1
Keller Warehousing and Packing,KELLER WAREHOUSING AND PACKING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Keller Warehousing & Co-Packing'),,,FALSE,1
Kenco Logistic Services,KENCO LOGISTIC SERVICES,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Kenco Logistic Services, Llc')",,,FALSE,1
Kenco Logistics,KENCO LOGISTICS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kenco Logistics'),,,TRUE,2
Kenneth C Wood,KENNETH C WOOD,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kenneth C. Wood'),,,FALSE,1
Kentucky Blood Center,KENTUCKY BLOOD CENTER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kentucky Blood Center Inc'),,,FALSE,1
Kentucky Underground Storage,KENTUCKY UNDERGROUND STORAGE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kentucky Underground Storage Inc'),,,FALSE,1
Kentwood Office Furniture,KENTWOOD OFFICE FURNITURE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kentwood Office Furniture'),,,FALSE,1
Kevin Wilson,KEVIN WILSON,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kevin Wilson'),,,FALSE,1
Keyme,KEYME,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Keyme Llc'),,,FALSE,1
Ki USA,KI USA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ki Usa'),,,FALSE,1
Kid City USA Franklin,KID CITY USA FRANKLIN,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kid City Usa Franklin'),,,FALSE,1
Kiesland,KIESLAND,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kiesland Inc.'),,,FALSE,1
Kindeva,KINDEVA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Kindeva'),,,FALSE,1
Kkt Chillers,KKT CHILLERS,Commercial Services,HVAC equipment/services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Kppe,KPPE,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'K.P.P.E.'),,,FALSE,1
Landform,LANDFORM,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Landform'),,,FALSE,1
Lasership Dba Ontrac,LASERSHIP DBA ONTRAC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Lasership Dba Ontrac'),,,FALSE,1
Latonia Bulk,LATONIA BULK,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Latonia Bulk Llc'),,,FALSE,1
Lawrence Brothers,LAWRENCE BROTHERS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Lawrence Brothers'),,,FALSE,1
Lemond Bikes,LEMOND BIKES,Commercial Services,Retail/brand (verify),,AI-Assisted Search,Low,Queued for AI-assisted search,Hospitality,,FALSE,1
Lemond Composites,LEMOND COMPOSITES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Lemond Composites'),,,FALSE,1
Lennox Industry Warranty Dept,LENNOX INDUSTRY WARRANTY DEPT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Lennox Industry Inc - Warranty Dept'),,,FALSE,1
Leopardo Companies,LEOPARDO COMPANIES,Commercial Services,Property/contracting (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Levi Strauss and,LEVI STRAUSS AND,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Levi Strauss & Company'),,,FALSE,1
Lhp Telematic,LHP TELEMATIC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Lhp Telematic'),,,FALSE,1
Lifetime Products,LIFETIME PRODUCTS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Lifetime Products Inc'),,,FALSE,1
Light Source,LIGHT SOURCE,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Light Source, Ltd')",,,FALSE,1
Lima USA,LIMA USA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Lima Usa Inc'),,,FALSE,1
Louisville Ilal Operations Dba Harmony at Tucker Station,LOUISVILLE ILAL OPERATIONS DBA HARMONY AT TUCKER STATION,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Louisville Il-Al Operations Llc Dba Harmony At Tucker Station'),,,FALSE,1
Louisville Vegan Jerky,LOUISVILLE VEGAN JERKY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Louisville Vegan Jerky Company'),,,FALSE,1
MA Folkes,MA FOLKES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ma Folkes Company'),,,FALSE,1
MS Mcclellan and,MS MCCLELLAN AND,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ms  Mcclellan & Co'),,,FALSE,1
MT and L,MT AND L,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Mt&L'),,,FALSE,1
Madison Farm,MADISON FARM,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'The Madison Farm'),,,FALSE,1
Madisonchampaign Educational Service Center,MADISONCHAMPAIGN EDUCATIONAL SERVICE CENTER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Madison/Champaign Educational Service Center'),,,FALSE,1
Mantis Innovation,MANTIS INNOVATION,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Mantis Innovation'),,,FALSE,1
Marksbury Farm,MARKSBURY FARM,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Marksbury Farm'),,,FALSE,1
Marshall Recreation Center,MARSHALL RECREATION CENTER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Marshall Recreation Center'),,,FALSE,1
Martin Brower,MARTIN BROWER,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'The Martin Brower Company Llc'),,,FALSE,1
Mass Marketing,MASS MARKETING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Mass Marketing Inc.'),,,FALSE,1
Massey Services,MASSEY SERVICES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Massey Services Inc'),,,FALSE,1
Masters Pharmaceuticals,MASTERS PHARMACEUTICALS,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Masters Pharmaceuticals'),,,FALSE,1
Mastronardi Berea,MASTRONARDI BEREA,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Mastronardi Berea Llc'),,,FALSE,1
Matrix Technologies,MATRIX TECHNOLOGIES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Matrix Technologies'),,,FALSE,1
Max Technical Training,MAX TECHNICAL TRAINING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Max Technical Training'),,,FALSE,1
Mayerson the,MAYERSON THE,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Mayerson Company, The')",,,FALSE,1
Mbm Refrigeration,MBM REFRIGERATION,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Mbm Refrigeration'),,,FALSE,1
Mch,MCH,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Mch Corporation'),,,FALSE,1
Mcquay International,MCQUAY INTERNATIONAL,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Mcquay International'),,,FALSE,1
Meco,MECO,Commercial Services,Services/manufacturing (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Megacity of Cincinnati,MEGACITY OF CINCINNATI,Commercial Services,Ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Mellow River Dba HH2HOME,MELLOW RIVER DBA HH2HOME,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Mellow River Inc Dba Hh2Home'),,,FALSE,1
Metzcor,METZCOR,Commercial Services,Ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Midpark Knoxville,MIDPARK KNOXVILLE,Commercial Services,Business entity (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Midwest Sea Salt,MIDWEST SEA SALT,Commercial Services,Food/wholesale (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Millan Enterprises,MILLAN ENTERPRISES,Commercial Services,Ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Millan Enterprises Billing,MILLAN ENTERPRISES BILLING,Commercial Services,Ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Millat Industries,MILLAT INDUSTRIES,Manufacturing,Manufacturing (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Ml Barnard,ML BARNARD,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ml Barnard Inc.'),,,FALSE,1
Momentum,MOMENTUM,Commercial Services,Ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Monaire,MONAIRE,Commercial Services,HVAC services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Mount Vernon Developmental Center,MOUNT VERNON DEVELOPMENTAL CENTER,Commercial Real Estate,Govt/health (ambiguous),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Msi Express,MSI EXPRESS,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'Msi Express, Inc.')",,,FALSE,1
Msp Wellness Billing,MSP WELLNESS BILLING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Msp Wellness Llc - Billing'),,,FALSE,1
Mueller,MUELLER,Commercial Services,Manufacturing/distribution (too broad),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Murphy,MURPHY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Murphy Company'),,,FALSE,1
Nasco,NASCO,Commercial Services,Distribution/education supplies (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Nashville Opera Association,NASHVILLE OPERA ASSOCIATION,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Nashville Opera Association'),,,FALSE,1
National Bedding,NATIONAL BEDDING,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'National Bedding, Llc.')",,,FALSE,1
Nehemiah,NEHEMIAH,Commercial Services,Nonprofit/education (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Netfor,NETFOR,Commercial Services,Staffing/services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
New Riff Distilling,NEW RIFF DISTILLING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'New Riff Distilling'),,,TRUE,2
Nickles Bakery,NICKLES BAKERY,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Nickles Bakery'),,,FALSE,1
Nlign Analytics Etegent,NLIGN ANALYTICS ETEGENT,Commercial Services,Ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Nnodum Pharmaceuticals,NNODUM PHARMACEUTICALS,Commercial Services,Pharma (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
OMNIA360 Facility Solutions,OMNIA360 FACILITY SOLUTIONS,Commercial Services,Facilities services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Oak Grove Gaming,OAK GROVE GAMING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Oak Grove Gaming'),,,FALSE,1
Ohio Valley Chapter Abc,OHIO VALLEY CHAPTER ABC,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Ohio Valley Chapter Abc'),,,TRUE,2
On Display,ON DISPLAY,Commercial Services,Ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,TRUE,2
Optimira Energy,OPTIMIRA ENERGY,Commercial Services,Energy services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Osborn Enterprises,OSBORN ENTERPRISES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Osborn Enterprises'),,,FALSE,1
Otics USA,OTICS USA,Manufacturing,Manufacturing (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Pam Spraguedave Collins,PAM SPRAGUEDAVE COLLINS,Commercial Services,Person/entity ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Panorama,PANORAMA,Commercial Services,Ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Passageways Dba Onboard,PASSAGEWAYS DBA ONBOARD,Commercial Services,Services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Patriot Armor,PATRIOT ARMOR,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Patriot Armor'),,,FALSE,1
Paw Pet Adventures Worldwide,PAW PET ADVENTURES WORLDWIDE,Commercial Services,Pet services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,Hospitality,,FALSE,1
Peace Communications,PEACE COMMUNICATIONS,Commercial Services,Telecom/IT (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Pentagon Group,PENTAGON GROUP,Commercial Services,Ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Perfection Group,PERFECTION GROUP,Unknown / Needs Review,Your organization (internal),,Manual Override,High,Master override,,,TRUE,2
Perfection Mechanical,PERFECTION MECHANICAL,Unknown / Needs Review,Mechanical contractor (internal brand),2382,Manual Override,High,Master override,,,FALSE,1
Perfection Printing,PERFECTION PRINTING,Unknown / Needs Review,Printing services (internal/affiliate?),3231,Heuristic,Low,Master override (weak-signal best guess),,,FALSE,1
Perfection Services,PERFECTION SERVICES,Unknown / Needs Review,Services (internal brand),,Manual Override,High,Master override,,,TRUE,8
Peterson,PETERSON,Unknown / Needs Review,,,Unclassified,Low,"Insufficient information (evidence: 'The Peterson Company, Llc')",,,FALSE,1
Petria Lowenstine,PETRIA LOWENSTINE,Commercial Services,Professional services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Pg and a,PG AND A,Commercial Services,Ambiguous acronym,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Pgna,PGNA,Commercial Services,Ambiguous acronym,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Phillips Edison and,PHILLIPS EDISON AND,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Phillips Edison & Company'),,,FALSE,1
Pioneer Vocational Industrial Services,PIONEER VOCATIONAL INDUSTRIAL SERVICES,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Pioneer Vocational Industrial Services Inc'),,,FALSE,1
Pitt and Frank,PITT AND FRANK,Commercial Services,Professional services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Planet Xchange,PLANET XCHANGE,Commercial Services,Recycling/IT? (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Pointe at Lifespring,POINTE AT LIFESPRING,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'The Pointe At Lifespring'),,,FALSE,1
Powerhouse Now Central Region,POWERHOUSE NOW CENTRAL REGION,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Powerhouse Now - Central Region'),,,FALSE,1
Pro Oncall Technologies,PRO ONCALL TECHNOLOGIES,Commercial Services,IT/services (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Profile By Sanford,PROFILE BY SANFORD,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Profile By Sanford'),,,FALSE,1
Promotion,PROMOTION,Commercial Services,Ambiguous,,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
Prospiant,PROSPIANT,Unknown / Needs Review,,,Unclassified,Low,Insufficient information (evidence: 'Prospiant'),,,FALSE,1
Prudent Growth Operation,PRUDENT GROWTH OPERATION,Commercial Real Estate,Investment/property (unclear),,AI-Assisted Search,Low,Queued for AI-assisted search,,,FALSE,1
