Customer Key,Customer Name,Address1,City,State,Zip,Project Revenue,Service Contract Revenue,T&M Revenue,Total Revenue
CN992084SERV_GP,INX INTERNATIONAL,150 NORTH MARTINGALE RD,SCHAUMBURG,IL,60173,$208176,,$25330,$233506
CN992091SERV_GP,IOFINA CHEMICAL,1025 MARY LAIDLEY DR,COVINGTON,KY,41018,$96650,,$1869,$98518
NV00120SERV_GP,"IPEG, INC - BILLING",455 ALLEGHENY BLVD,Franklin,PA,16323,$64068,$7587,$102087,$173741
DY991097SERV_GP,IPS PACKAGING AND AUTOMATION,1659 JACKSON RD SUITE B,Union,OH,45377,,$7083,$5407,$12490
IRG BATAVIA 1MECH_GP,IRG BATAVIA 1,1981 JAMES E SAULS DRIVE,Batavia,OH,45103,$15970,,,$15970
IRMSCHERMECH_GP,Irmscher Construction,1030 Osage Street,Fort Wayne,IN,46808,$4431860,,,$4431860
ISLAMIC ASSOCMECH_GP,Islamic Association of Cincinnati,3668 Clifton Ave,Cincinnati,OH,45220,$5124,,,$5124
TN992214SERV_GP,ISM MANAGEMENT LLC FOR OTN RETAIL FOUR LLC,234 BROOKVIEW CENTRE WAY STE 106,KNOXVILLE,TN,37919,$37970,,,$37970
ITW001SERV_GP,ITW,850 Steam Plant Road,Gallatin,TN,37066,$3427,$7529,$8777,$19733
DY991167SERV_GP,ITW FOOD EQUIPMENT GROUP,1495 NORTH HIGH STREET,HILLSBORO,OH,45133,,,$4196,$4196
IN990409SERV_GP,"IU HEALTH C/O CORNERSTONE COMPANIES, INC.",8902 N MERIDIAN ST,Indianapolis,IN,46260,$5750,$26598,$5211,$37558
LV990421SERV_GP,IVAN FUNK LLC,2418 STANNYE DRIVE,Louisville,KY,40222,,,$545,$545
IVAXMECH_GP,IVAX Pharmaceuticals,4400 Biscayne Bvld.,Miami,FL,33137,$30592,,,$30592
CN992129SERV_GP,IVEY MECHANICAL COMPANY LLC,1063 MANCHESTER ST,LEXINGTON,KY,40508,,,$2500,$2500
JJ MANAGEMENTMECH_GP,J & J MANAGEMENT,30500 S.E. 79TH ST,ISSAQUAH,WA,98027,$201985,,,$201985
TN992168SERV_GP,J AND B ROBERTS HOLDINGS LLC,2709 W HWY 11E,STAWBERRY PLAINS,TN,37871,,,$442,$442
TN991777SERV_GP,J&F MECHANICAL,4589 RUTLEDGE PIKE,RUTLEDGE,TN,37861,$40630,,$12636,$53266
LX990487SERV_GP,J&J GENERAL MAINTENANCE INC,2430 SOUTH 3RD STREET,Ironton,OH,45638,$45348,,$0,$45348
CN990856SERV_GP,"J&N DISTRIBUTION & DESIGN, INC.",P O BOX 325,LEBANON,OH,45036,$82392,$5235,$12921,$100548
JA DOEPKER ASSOMECH_GP,"J.A. DOEPKER ASSOCIATES, INC.",12 HIGHLAND AVE,Ft Thomas,KY,41075,$81400,,,$81400
DY991036SERV_GP,J.E. FOSTER BUILDING COMPANY,108 GREEN PARK INDUSTRIAL CT,St. Louis,MO,63123,$17836,,,$17836
LX950130SERV_GP,J.M. SMUCKER COMPANY,PO Box 88,Orrville,OH,44667,$1060665,$1100737,$241998,$2403400
CN991967SERV_GP,J.N. LINROSE,999 EAST AVE,HAMILTON,OH,45011,,$3146,$0,$3146
NV00175SERV_GP,J.W. MARRIOT,208 8TH AVE. S,NASHVILLE,TN,37203,,,$402,$402
CN990026SERV_GP,JA FIELDEN,650 GATEWAY BLVD,Mason,Ohio,45050,,,$365,$365
CN992076SERV_GP,JABIL CIRCUIT INC,2505 TED BUSHELMAN BLVD,Florence,KY,41042,$64057,$8647,$28358,$101062
TN200502SERV_GP,JACK ALBRECHT,2649 Commerce Blvd,Cincinnati,OH,45241,,,$3000,$3000
"ALBRECHT, JACKMECH_GP",Jack Albrecht Residents,11268 Hertz Ct.,Union,KY,41091,$9101,,,$9101
TN992073SERV_GP,JACKSON CONTROL CO INC,1708 E 10TH ST,Indianapolis,IN,46201,$181171,,$15729,$196900
WV990301SERV_GP,JACKSON COUNTY BOARD OF EDUCATION,PO BOX 770,Ripley,WV,25271,,$68898,$5477,$74375
"JACKSON, DARRYLMECH_GP","JACKSON, DARRYL",9071 COACHTRAIL LANE,Cincinnati,OH,45242,$5177,,,$5177
CN990911SERV_GP,JAGUAR LAND ROVER CINCINNATI,9115 BLUE ASH ROAD,Cincinnati,OH,45242,$5929,$15656,$21799,$43385
CN992183SERV_GP,JAMES CARROLL,400 PIKE STREET,Cincinnati,OH,45202,$4516,,,$4516
DY991129SERV_GP,JAMES CONSTRUCTION AND RENOVATION LLC,925 SENATE DRIVE,WASHINGTON TOWNSHIP,OH,45459,,,$556,$556
CN992181SERV_GP,JAMIE ENDAYA,400 PIKE STREET,Cincinnati,OH,45202,$7220,,$510,$7730
CN991866SERV_GP,JANELL CONCRETE,6130 CORNELL RD,Cincinnati,OH,45242,$34526,$20038,$17397,$71961
NV00129SERV_GP,JAY HEWITT,6628 ARNO ALLISONA RD,COLLEGE GROVE,TN,37046,,,$3725,$3725
CN992064SERV_GP,JAYCO CLEANING TECHNOLOGIES,8812 BECKETT RD,WEST CHESTER,OH,45069,,$620,,$620
JDLMECH_GP,JDL WARM,1125 W. EIGHTH STREET,Cincinnati,OH,45203,$200070,,,$200070
NV15016SERV_GP,JE DUNN CONSTRUCTION,29 HERMITAGE AVE,NASHVILLE,TN,37210,,$11120,$26565,$37685
CN991185SERV_GP,JEFF WYLER FAIRFIELD,401 MILFORD PKWY,Milford,OH,45150,$57149,$37801,$202268,$297217
TN992024SERV_GP,JEFFERSON COUNTY GOVERNMENT,PO BOX 1749,DANDRIDGE,TN,37725,$83687,,,$83687
JEFFERSON COUNTMECH_GP,JEFFERSON COUNTY SCHOOLS,FINANCE DEPT.,DANDRIDGE,TN,37725,$9444461,,,$9444461
TN992117SERV_GP,JEFFERSON COUNTY SCHOOLS,PO BOX 1749,DANDRIDGE,TN,37725,,,$11549,$11549
LV990492SERV_GP,JEFFERSONVILLE ANIMAL SHELTER,201 WILLINGER LANE,JEFFERSONVILLE,IN,47130,,,$1048,$1048
TN991453SERV_GP,JENNIFER BANNER RESIDENCE,6715 SHERWOOD DR,KNOXVILLE,TN,37919,,,$8472,$8472
CN992176SERV_GP,JENNIFER COUSER,400 PIKE STREET,Cincinnati,OH,45202,$8958,,,$8958
LX990436SERV_GP,JENNIFER HAWKINS STATE FARM,174 BELLERIVE BLVD,NICHOLASVILLE,KY,40356,,,$497,$497
TN992241SERV_GP,JERROD HERRON,12204 YARNELL RD,KNOXVILLE,TN,37923,,,$1010,$1010
WV990262SERV_GP,JERRY R SMITH ARCHITECT,PO BOX 1177,Greenville,TN,37744,,,$905,$905
LX990185SERV_GP,JESSAMINE CO FISCAL COURT,"ATTN: ACCTS PAYABLES 101 N MAIN, STE 7",NICHOLASVILLE,KY,40356,$34010,$58168,$100413,$192592
LX950032SERV_GP,JESSAMINE CO. DET. CTR.,229 E. MAPLE ST,NICHOLASVILLE,KY,40356,$2529,,$17463,$19992
JESSAMINE COUNTMECH_GP,JESSAMINE COUNTY FISCAL COURT,101 NORTH MAIN STREET,NICHOLASVILLE,KY,40356,$1207431,,,$1207431
CN992342SERV_GP,JESSIES LANDING CONDOMINIUM C/O TOWNE PROPERTIES,11840 KEMPER SPRINGS DR,Cincinnati,OH,45240,,$910,$708,$1618
CN992096SERV_GP,JF BERNS,11115 ASHBURN ROAD,Cincinnati,Ohio,45240,,,$4708,$4708
TN992149SERV_GP,JFK ENTERPRISES LLC,PO BOX 51843,KNOXVILLE,TN,37950,,$4480,$922,$5402
DY991132SERV_GP,JLL INDUSTRIAL PROPERTY MANAGEMENT,375 N FRONT STREET,Columbus,OH,43215,,,$9222,$9222
JM SMUCKERSMECH_GP,"JM Smucker Company, LLC",PO Box 88,Orrville,OH,44667,$1921335,,,$1921335
CN992258SERV_GP,JML CAPITAL LLC,3930 EDWARDS ROAD,CINCINNNATI,OH,45209,,$12299,$14956,$27255
CN992167SERV_GP,JOE SEGAL & DEBBIE FRIEDMAN TRUST,400 PIKE STREET,Cincinnati,OH,45202,$8084,,,$8084
JOHANNPLUMBINGMECH_GP,JOHANN PLUMBING,5761 MORGAN RD,Cleves,OH,45002,$4423,,,$4423
CN992179SERV_GP,JOHN & MARGARET FECKER,400 PIKE STREET,Cincinnati,OH,45202,$7904,,,$7904
TN332133SERV_GP,"JOHNSON & GALYON, INC.",P.O. BOX 3070,KNOXVILLE,TN,37927,,,$2607,$2607
JOHNSON CNTYMECH_GP,JOHNSON COUNTY KY FISCAL COURT,230 COURT STREET,PAINTSVILLE,KY,41240,$93325,,,$93325
NV15019SERV_GP,JOHNSON ELECTRIC,755 BILL JONES INDUSTRIAL DR,Springfield,TN,37172,$173394,$130733,$156623,$460750
CN992071SERV_GP,JOHNSON ELECTRIC SUPPLY,1841 RIVERSIDE DR,Cincinnati,OH,45202,,$4429,$7363,$11792
WV990261SERV_GP,"JOHNSON-NORTHWEST, INC",923 OLDHAM DR UNIT 69,NOLENSVILLE,TN,37135,,,$6934,$6934
WV990268SERV_GP,JONES LANG LASALLE - JLL AMAZON,MAIL BIN CSCF,WESMONT,IL,60559,,$18746,$16506,$35252
JONES LANG LASAMECH_GP,"JONES LANG LASALLE AMERICAS, INC",P.O. Box 8108,Royal Oak,MI,48068-8108,$34005,,,$34005
NV00073SERV_GP,JOSEPH GRENVICZ,2462 HWY 82 SOUTH,SHELBYVILLE,TN,37160,,,$1943,$1943
CN992101SERV_GP,JOSEPH L HAMILTON SCHOOL BUS SERVICES,100 HAMILTON AVE,Cincinnati,OH,45215,$25406,,,$25406
LX990454SERV_GP,JOY GLOBAL UNDERGROUND MINING LLC,PO BOX 1051,MILWAUKEE,WI,53201,,,$1780,$1780
WV990310SERV_GP,JPSB LLC,2509 PLANTSIDE DR,Louisville,KY,40299,$14962,,,$14962
NV15061SERV_GP,JR MANUFACTURING,PO BOX 478,FOR RECOVERY,OH,45846,,$12368,$4735,$17103
CN992282SERV_GP,JS HELD LLC,50 JERICHO QUADRANGLE,JERICHO,NY,11753,$18514,,,$18514
TN992182SERV_GP,JTEKT NORTH AMERICA,7 RESEARCH DR,Greenville,SC,29607,,,$23862,$23862
JTF CONSTRUCTIOMECH_GP,JTF CONSTRUCTION INC,4235 MULHAUSER ROAD,FAIRFIELD,OH,45014,$53225,,,$53225
NV00143SERV_GP,JULIE FARRIS,1358 DUNRAVEN DR,MURFREESBORO,TN,37128,$4567,,,$4567
JW HARRISMECH_GP,"JW Harris Co., Inc.",4501 Quality Place,Mason,OH,45040,$48802,,,$48802
CN992239SERV_GP,JW PROPERTY INSPECTION LLC,7595 BLUE FOX RUN,WEST CHESTER,OH,45069,$5858,,$777,$6635
CN991846SERV_GP,JWF TECHNOLOGIES,3065 MOSER CT,HAMILTON,OH,45011,,$10569,$3883,$14452
DY990962SERV_GP,K&L ALLSTAR INVESTMENTS LLC C/O EQUITY,4653 TRUEMAN BLVD,HILLIARD,OH,43026,,$2730,$5665,$8395
KPPEMECH_GP,K.P.P.E.,5302 Vista Point Drive,MAINEVILLE,OH,45039,$426,,,$426
K4 ARCHITECTMECH_GP,K4 ARCHITECTURE,555 GEST ST,Cincinnati,OH,45203,$12114,,,$12114
CN991890SERV_GP,KAESER & BLAIR,4236 GRISSOM DR,Batavia,OH,45103,$55316,$18302,$39249,$112867
KBDMECH_GP,"KAJIMA BUILDING & DESIGN GROUP, INC",6170 FIRST FINANCIAL DRIVE,BURLINGTON,KY,41005,$9075166,,,$9075166
KAJIMECH_GP,"Kajima Building & Design Group, Inc.",6170 FIRST FINANCIAL DRIVE,BURLINGTON,KY,41005,$1079233,,,$1079233
KAOMECH_GP,KAO BRANDS,2535 Spring Grove Avenue,Cincinnati,OH,45214,$29322,,,$29322
LX990373SERV_GP,KAREN HARBIN,10 BELMONT ST,FRANKFORT,KY,40601,,,$3908,$3908
CN950451SERV_GP,KARLA RICKING,639 GLENWAY AVE,Cincinnati,OH,45215,$27699,$2427,$7602,$37728
CN992178SERV_GP,KATHY SACKETT,400 PIKE STREET,Cincinnati,OH,45202,$7220,,,$7220
DY991054SERV_GP,KAY ROBINSON,6403 ALP COURT,HUBER HEIGHTS,Ohio,45424,,,$187,$187
CN992366SERV_GP,KBC BUYER INC DBA KLOSTERMAN BAKING COMPANY,2100 LITTON LN,Hebron,KY,41048,,,$1668,$1668
LV990498SERV_GP,KBD GROUP INC,3414 PEACHTREE RD NE,ATLANTA,GA,30326,,,$1434,$1434
DY991064SERV_GP,KDC ONE,4400 SOUTH HAMILTON ROAD,GROVEPORT,OH,43125,,$3896,$910,$4805
TN992127SERV_GP,KEENLAND HEIGHTS LLC,318 ERIN DRIVE SUITE 11,KNOXVILLE,TN,37919,$29968,$24387,$7131,$61485
KEIDEL SUPPLYMECH_GP,KEIDEL SUPPLY COMPANY,2026 DELAWARE AVE,Cincinnati,OH,45212,$6980,,,$6980
IN990384SERV_GP,KEIHIN IPT MANUFACTURING LLC,400 WEST NEW RD,GREENFIELD,IN,46140,$7360,,,$7360
LX990375SERV_GP,KEITH BROCK,941 BELMERE DR,LEXINGTON,KY,40509,$7873,,,$7873
CN992233SERV_GP,KELLER WAREHOUSING & CO-PACKING,4101 WINSTON AVE,Latonia,KY,41015,,$8376,$974,$9350
LV990423SERV_GP,KELLEY CONSTRUCTION INC,12550 LAKE STATION PL,Louisville,KY,40299,$1601279,,$6466,$1607745
KENNMECH_GP,Ken Neyer Plumbing,4895 St. Route 128,Cincinnati,OH,45002,$7313,,,$7313
KENCOMECH_GP,"KENCO LOGISTIC SERVICES, LLC",2001 RIVERSIDE DRIVE,CHATTANOOGA,TN,37406,$518,,,$518
DY991053SERV_GP,KENCO LOGISTICS,3099 ROHR RD,GROVEPORT,OH,43125,,,$4760,$4760
DY990942SERV_GP,KENCO LOGISTICS,6260 WINCHESTER BLVD,CANAL WINCHESTER,OH,43110,,$16384,$19653,$36037
"WOOD, KENNETHMECH_GP",Kenneth C. Wood,3005 Twilight Dr,Cincinnati,OH,45241,$1675,,,$1675
LX990488SERV_GP,KENTUCKY BLOOD CENTER INC,3121 BEAUMONT CENTER CIRCLE,LEXINGTON,KY,40513,$7898,$3996,$7249,$19143
LX990098SERV_GP,KENTUCKY HIGH SCHOOL ATHLETIC ASSOCIATION,2280 EXECUTIVE DRIVE,LEXINGTON,KY,40505,,$4653,$7144,$11797
LV990340SERV_GP,KENTUCKY SCIENCE CENTER,727 W MAIN ST,Louisville,KY,40202,,$91496,$145578,$237074
LX990314SERV_GP,KENTUCKY STATE POLICE,100 SOWER BLVD SUITE 102,FRANKFORT,KY,40601,$30752,,$12684,$43436
LX950108SERV_GP,KENTUCKY UNDERGROUND STORAGE INC,PO BOX 205,WILMORE,KY,40390,,,$255,$255
KY VETERANS CEMMECH_GP,Kentucky Veterans Cemetery North,205 Eibeck Lane,Williamstown,KY,41097,$3407,,,$3407
IN990403SERV_GP,KENTWOOD OFFICE FURNITURE,3063 BRETON RD WE,GRAND RAPIDS,MI,49512,,$3401,$1181,$4582
KENWOOD SURGERYMECH_GP,KENWOOD SURGERY,4608 GALBRAITH ROAD,Cincinnati,OH,45236,$226244,,,$226244
CN992099SERV_GP,KETMOY PRINTING,9285 PRINCETON-GLENDALE RD,WEST CHESTER,OH,45011,$28213,,$0,$28213
CN992206SERV_GP,KEVIN WILSON,9637 PLACID DRIVE,WEST CHESTER,OH,45241,,,$195,$195
CN992095SERV_GP,KEYME LLC,2000 GATEWAY BLVD,Hebron,KY,41048,,$8076,$6064,$14140
CN991900SERV_GP,"KHD-AR, LLC C/O NEYER MANAGEMENT",1111 META DR,Cincinnati,OH,45237,$285024,$125018,$214346,$624388
LX990492SERV_GP,KI USA,501 MAYDE RD,BEREA,KY,40403,,$2968,$3126,$6094
NV15096SERV_GP,KID CITY USA FRANKLIN,330 MAYFIELD DR,Franklin,TN,37067,,$1288,,$1288
KIESMECH_GP,Kiesland Inc.,11651 Lebanon Rd.,Cincinnati,OH,45241,$328590,,,$328590
CN992290SERV_GP,KIM M ORTMAN,5745 CURNIE DRIVE,HAMILTON,OH,45013,$8349,,$581,$8930
IN990121SERV_GP,KIMBALL ELECTRONICS,P. O. BOX 18189,Indianapolis,IN,46218,$420186,$173077,$181532,$774795
CN992333SERV_GP,KIMCO REALTY,5500 DEERFIELD BLVD,Mason,OH,45040,$32903,$12672,$42227,$87802
LX990473SERV_GP,KINDEVA,1513 BULL LEA RD,LEXINGTON,KY,40511,$7323,$11340,$45431,$64094
CN950045SERV_GP,"KING, GARY",1427 HOLMAN VIEW DRIVE,Cincinnati,OH,45215,,,$2388,$2388
KINGSELECTRICSEMECH_GP,KINGS ELECTRIC SERVICES,PO BOX 382,LEBANON,OH,45036,$6370,,,$6370
CN992063SERV_GP,Kings Local Schools,ATTN: BUSINESS OFFICE,Kings Mills,OH,45034,$3899,$10046,$11237,$25182
NV15032SERV_GP,KINNECTION CHIROPRACTIC,330 MAYFIELD DR STE C7,Franklin,TN,37067,,$869,,$869
NV15002SERV_GP,KKT CHILLERS,765 DILLON DR,WOOD DALE,IL,60191,$8308,,$10409,$18717
KLHMECH_GP,KLH Engineers,1538 ALEXANDRIA PIKE,Ft Thomas,KY,41075,$2626,,,$2626
IN990477SERV_GP,KNAUF INSULATION INC,1 KNAUF DRIVE,SHELBYVILLE,IN,46176,$78809,$25166,$94880,$198856
TN992124SERV_GP,KNOXVILLE DENTAL CARE,1912 PINNACLE POINTE WAY,KNOXVILLE,TN,37922,,,$2277,$2277
TN992010SERV_GP,KNOXVILLE EYE CARE ASSOCIATES C/O REALTY TRUST GROUP,PO BOX 10868,KNOXVILLE,TN,37939,,,$447,$447
TN992031SERV_GP,KNOXVILLE PROPERTIES PARTNERSHIP-APP C/O AVISON YOUNG,PO BOX 36901,CHARLOTTE,NC,27236,,$19789,,$19789
TN200027SERV_GP,KNOXVILLE TVA EMPLOYEES CREDIT UNION,PO BOX 36027,KNOXVILLE,TN,37930,$318369,$296998,$477901,$1093269
NV15022SERV_GP,KOBE ALUMINUM AUTOMOTIVE PRODUCTS,1 KOBE WAY,BOWLING GREEN,KY,42101,$26277,$281531,$29351,$337159
NV15006SERV_GP,KOBELCO ALUMINUM,18 KOBE WAY,BOWLING GREEN,KY,42101,$5145,$42894,$69403,$117443
TN991206SERV_GP,KOCH FOODS INC,123 S FAIRMONT AVENUE,MORRISTOWN,TN,37815,$12947,$25658,$57242,$95847
KODIAKMECH_GP,"Kodiak Constructors, Inc.",5935 Carnegie Blvd,"Charlotte,",NC,28209,$784653,,,$784653
LV990422SERV_GP,KOETTER CONSTRUCTION,7393 PETE ANDRES RD,FLOYDS KNOBS,IN,47119,$262380,,,$262380
KOETTER GROUPMECH_GP,"KOETTER CONSTRUCTION, INC",7393 PETE ANDRES RD,FLOYDS KNOB,IN,47119,$639059,,,$639059
KOHRS LONNEMANNMECH_GP,KOHRS LONNEMANN HEIL ENGINEERS,1538 ALEXANDRIA PIKE,Ft. Thomas,KY,41075,$9641,,,$9641
TN992242SERV_GP,"KPA NIGHTINGALE  LANE, LLC",6515 NIGHTINGALE LANE,KNOXVILLE,TN,37909,,,$1851,$1851
CN991451SERV_GP,KROGER,1014 VINE STREET,Cincinnati,OH,45202,$60310,,,$60310
CN992257SERV_GP,KROGER LOGISTICS,6300 CREEK RD,Blue Ash,OH,45242,,,$48574,$48574
KT DESIGN GROUPMECH_GP,KT DESIGN GROUP,2728 MADISON ROAD,Cincinnati,OH,45209,$184180,,,$184180
CN990968SERV_GP,KUMON LEARING CENTER,2151 SOUTH PARK DRIVE,Hebron,KY,41048,$63274,,,$63274
LX000012SERV_GP,KY CHAMBER OF COMMERCE,464 CHENAULT RD.,FRANKFORT,KY,40601,$20515,$25733,$50332,$96580
LX990129SERV_GP,KY SMELTING TECHNOLGIES,140 BELLAFATO DR,Paris,KY,40361,$11021,$20592,$14875,$46488
L3 COMMUNICATIOMECH_GP,L3 FUZING & ORDNANCE SYSTEMS,3975 MCMANN ROAD,Cincinnati,OH,45245,$46915,,,$46915
CN990672SERV_GP,L3 HARRIS TECHNOLOGIES,PO BOX 9002,MELBOURNE,FL,32902,$58078,,$9107,$67185
LACOMEDIAMECH_GP,"LA COMEDIA ENTERPRISES, INC",765 W CENTRAL AVE,SPRINGBORO,OH,45066-1113,$238300,,,$238300
LA QUINTA CORPMECH_GP,LA QUINTA MANAGEMENT L.L.C,"909 Hidden Ridge,",Irving,TX,75038,$90475,,,$90475
LV990435SERV_GP,LABOR WORKS,3206 PRESTON HWY,Louisville,KY,40213,,,$1564,$1564
LX990374SERV_GP,LAKESHORE CONSTRUCTION GROUP LLC,3591 LAKESHORE RD,MAINSTEE,MI,49960,$60312,,$0,$60312
TN992072SERV_GP,LAKESIDE CENTRE REALTY PARTNERS LLC,2035 LAKESIDE CENTRE WAY STE 200,KNOXVILLE,TN,37919,$3907,$99032,$46734,$149673
TN992136SERV_GP,"LAME INVESTMENTS, LLC",1713 HENRY G LANE ST,MARYVILLE,TN,37801,,,$1774,$1774
TN991248SERV_GP,LANCE CUNNINGHAM FORD,4101 CLINTON HWY,KNOXVILLE,TN,37912,$28211,$25698,$10835,$64744
TN992206SERV_GP,LAND OAK 2 C/O NAI,255 N PETERS RD,KNOXVILLE,TN,37923,,,$1732,$1732
TN200518SERV_GP,LAND ROVER OF KNOXVILLE,10131 PARKSIDE DRIVE,KNOXVILLE,TN,37922,,$288,$406,$694
CN992371SERV_GP,LANDEN SQUARE 3 LLC CO INTEGRIS VENTURES,655 CRAIG ROAD,CREVE COEUR,MO,63141,,,$1988,$1988
LANDFORMMECH_GP,Landform,1485 Symmes Rd,FAIRFIELD,OH,45014,$227,,,$227
LV990465SERV_GP,LANDMARK CENTER LLC,915 MAIN ST SUITE 108,EVANSVILLE,INDIANA,47708,$60710,$48594,$198351,$307655
LX990463SERV_GP,LANDMARK SPRINKLER,2317 FRANKFORT CT,LEXINGTON,KY,40510,$36414,,,$36414
DY991050SERV_GP,LASERSHIP DBA ONTRAC,1260 LONDON GROVEPORT RD,LOCKBOURNE,OH,43137,,$27882,$21189,$49071
LV990515SERV_GP,LAST STOP BREWING LLC,525 MAIN STREET,SHELBYVILLE,KY,40065,,,$4491,$4491
TN992068SERV_GP,LATHAM MECHANICAL LLC,3404 TIPTON STATION RD,KNOXVILLE,TN,37920,,,$1142,$1142
CN992299SERV_GP,LATONIA BULK LLC,121 E 4TH STREET,COVINGTON,KY,41011,,,$2828,$2828
CN992102SERV_GP,LATONIA CHRISTIAN CHURCH,3900 DECOURSEY AVENUE,COVINGTON,KY,41015,,,$10349,$10349
CN992177SERV_GP,LAURA RANDAL,400 PIKE STREET,Cincinnati,OH,45202,$7846,,,$7846
TN992166SERV_GP,LAW OFFICE OF C M WATSON,PO BOX 52386,KNOXVILLE,TN,37950,,,$442,$442
WV990277SERV_GP,LAWRENCE BROTHERS,203 LAWRENCE RD,BLUEFIELD,VA,24605,,,$5338,$5338
LAWRENCE CTYMECH_GP,LAWRENCE COUNTY COMMISSIONERS,111 SOUTH FOURTH STREET,Ironton,OH,45638-1590,$7689895,,,$7689895
WV990090SERV_GP,LAWRENCE COUNTY COURTHOUSE,111 SOUTH FOURTH STREET,Ironton,OH,45638,$44415,$144531,$105735,$294681
WV990103SERV_GP,LAWRENCE COUNTY DEPARTMENT OF JOBS AND FAMILY SERVICES,1100 SOUTH SEVENTH STREET,Ironton,OH,45638,,$112998,$20287,$133285
LAWRENCE DJFSMECH_GP,Lawrence County DJFS,PO Box 539,Ironton,OH,45638,$34667,,,$34667
WV990125SERV_GP,LAWRENCE COUNTY MUNICIPAL BUILDING,10916 COUNTY ROAD 1,CHESAPEAKE,OH,45619,,$5038,$2952,$7990
TN992033SERV_GP,LAZARUS PARTNERSHIP - NMP C/O AVISON YOUNG,PO BOX 36901,CHARLOTTE,NC,36901,$50408,$18128,$18721,$87257
TN992040SERV_GP,LBMC KNOXVILLE CPA ADVISORS & CONSULTANTS,2095 LAKESID CENTRE WAY STE 220,KNOXVILLE,TN,37922,,$48,,$48
LX990441SERV_GP,LCG FITNESS AND PERFORMANCE,620 ROLLING CREEK LANE,LEXINGTON,KY,40515,,,$497,$497
CN991864SERV_GP,LCNB,PO BOX 59,LEBANON,OH,45036,$171184,$75458,$70659,$317301
IN990435SERV_GP,LEBANON UTILITIES,401 S MERIDIAN ST,LEBANON,IN,46052,,$10810,$7881,$18691
TN950610SERV_GP,LEE COMPANY,322 WILHAGAN ROAD,NASHVILLE,TN,37217,$12247,,,$12247
LX990372SERV_GP,LEGACY TRAIL LLC C/O CBRE,BILLBOX: 01-176798-LEGTR,Warren,MI,48090-2021,,$57904,$11437,$69341
LEHMANDAMANCONSMECH_GP,"LEHMAN DAMAN CONSTRUCTION SERVICE, INC",975 EASTWIND DRIVE,WESTERVILLE,OH,43081,$1961,,,$1961
LEL001SERV_GP,Lellyett & Rogers,1717 Lebanon Pike,NASHVILLE,TN,37210,$23214,$102589,$31857,$157660
TN992037SERV_GP,LEMOND BIKES,10351 DEERBORN LN,KNOXVILLE,TN,37932,,$4820,$9926,$14746
TN991813SERV_GP,LEMOND COMPOSITES,103 PALLADIUM WAY,OAK RIDGE,TN,37830,$1216878,,$22750,$1239628
CN992278SERV_GP,LEMS SHOES,223 BENTLEY AVE,SHARON,PA,16146,,$1950,$2540,$4490
CN991934SERV_GP,"LEN RIEGLER BLACKTOP, INC.",165 WEAVER RD,Florence,KY,41042,,$13268,$29703,$42971
LENNOXMECH_GP,"LENNOX INDUSTRIES, INC.",3400 E KEMPER RD,Cincinnati,OH,45241,$21762,,,$21762
NV00088SERV_GP,LENNOX INDUSTRY INC - WARRANTY DEPT,PO BOX 799900,DALLAS,TX,75379,,,$7486,$7486
LEOPARDOMECH_GP,"LEOPARDO COMPANIES, INC.",5200 PRAIRIE STONE PARKWAY,HOFFMAN ESTATES,IL,60192,$6461269,,,$6461269
NV00139SERV_GP,LE'S NAILS AND SPA,711 E MAIN STREET,Hendersonville,TN,37075,,,$2914,$2914
CN991646SERV_GP,LESLIE'S SALON,3454 COLUMBIA PKWY,Cincinnati,Ohio,45226,,,$741,$741
CN990947SERV_GP,LET'S PLAY SPORTS,8300 SOUTH COUNTY LINE ROAD,OKLAHOMA CITY,OK,73169-1606,$41504,$52831,$76405,$170739
TN991708SERV_GP,LEVEL UP GAMES & HOBBIES,9315 KINGSTON PIKE,KNOXVILLE,TN,37922,,,$762,$762
CN960242SERV_GP,LEVI STRAUSS & COMPANY,3750 NORTHBEND ROAD,Hebron,KY,41048,$49640,$212347,$3458,$265445
TN991448SERV_GP,LEWIS THOMASON,620 MARKET ST  ONE CENTER SQUARE,KNOXVILLE,TN,37902,,$992,,$992
LX990077SERV_GP,LEXINGTON GREEN PARTNERS LLC,"230 LEXINGTON GREEN CIRCLE, SUITE 117",LEXINGTON,KY,40503,$34603,$112146,$138687,$285436
LX990154SERV_GP,"LEXINGTON PROFESSIONAL MANAGEMENT, LLCL",3320 TATES CREEK ROAD,LEXINGTON,KY,40502,$67812,$10092,$12613,$90517
IN990151SERV_GP,LHP TELEMATIC,17406 TILLER COURT,WESTFIELD,IN,46074,,$3630,$3154,$6784
CN991889SERV_GP,LIBERTY DIALYSIS OF NORWOOD,2071 SHERMAN AVE,Norwood,OH,45212,$4899,$13691,$16712,$35302
CN970064SERV_GP,LIBERTY MARKING SYSTEMS,7265 EDINGTON DRIVE,Cincinnati,OH,45249,$59098,,$29765,$88863
CN992322SERV_GP,LIBERTY STATION HEALTH CAMPUS,5348 NEWTOWN DR,Liberty Township,OH,45011,,$6748,$2700,$9448
LICHMECH_GP,"Lichtenberg Constuction, Inc",11435  Williamson Rd.,Cincinnati,OH,45241,$75864,,,$75864
