Master Customer Name,Master Customer Name Canonical,Industrial Group,Industrial Group Source,Industry Detail,Industry Detail Source,NAICS,NAICS Raw,NAICS Source,NAICS Sector Code,NAICS Sector Title,NAICS Subsector Code,NAICS Subsector Title,NAICS Industry Group Code,NAICS Industry Group Title,NAICS Industry Code,NAICS Industry Title,NAICS National Industry Code,NAICS National Industry Title,Method,Status,Confidence,Rationale,Support Category,Support Category Source,Company Website,Company Website Source,Company Logo URL,Company Logo URL Source,Company Logo URL (Apistemic),Company Logo URL (Apistemic) Source,Company Logo URL (Logo.dev),Company Logo URL (Logo.dev) Source,Enrichment Status,Enrichment Rationale,IsMerge,MergeGroupSize
Graphic Village Blue Ash,GRAPHIC VILLAGE BLUE ASH,Commercial Services,Master Override,Printing & Marketing,Master Override,323111,323111,Master Override,31-33,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32311,Printing,323111,Commercial Printing (except Screen and Books),AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,graphicvillage.com,Master Override,,,https://logos-api.apistemic.com/domain:graphicvillage.com,Computed from Company Website,https://img.logo.dev/graphicvillage.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Graybar,GRAYBAR,Commercial Services,Master Override,Electrical Distribution,Master Override,423610,423610,Master Override,42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,42361,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,graybar.com,Master Override,,,https://logos-api.apistemic.com/domain:graybar.com,Computed from Company Website,https://img.logo.dev/graybar.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Grayson Bmwmini of Knoxville,GRAYSON BMWMINI OF KNOXVILLE,Commercial Services,Master Override,Food distribution,Master Override,424490,424490,Master Override,42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42449,Other Grocery and Related Products Merchant Wholesalers,424490,Other Grocery and Related Products Merchant Wholesalers,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,graysonauto.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:graysonauto.com,Computed from Company Website,https://img.logo.dev/graysonauto.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Great Clips Ohio,GREAT CLIPS OHIO,Commercial Services,Master Override,Hair Salon,Master Override,812112,812112,Master Override,81,Other Services (except Public Administration),812,Personal and Laundry Services,8121,Personal Care Services,81211,"Hair, Nail, and Skin Care Services",812112,Beauty Salons,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,greatclips.com,Master Override,,,https://logos-api.apistemic.com/domain:greatclips.com,Computed from Company Website,https://img.logo.dev/greatclips.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Great Lakes Ace Hardware,GREAT LAKES ACE HARDWARE,Commercial Services,Master Override,Hardware Retail,Master Override,444130,444130,Master Override,44-45,Retail Trade,444,Building Material and Garden Equipment and Supplies Dealers,4441,Building Material and Supplies Dealers,44413,,444130,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,greatlakesace.com,Master Override,,,https://logos-api.apistemic.com/domain:greatlakesace.com,Computed from Company Website,https://img.logo.dev/greatlakesace.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Great Lakes Cheese,GREAT LAKES CHEESE,Manufacturing,Master Override,Cheese Manufacturing,Master Override,311513,311513,Master Override,31-33,Manufacturing,311,Food Manufacturing,3115,Dairy Product Manufacturing,31151,Dairy Product (except Frozen) Manufacturing,311513,Cheese Manufacturing,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,greatlakescheese.com,Master Override,,,https://logos-api.apistemic.com/domain:greatlakescheese.com,Computed from Company Website,https://img.logo.dev/greatlakescheese.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Great Lakes Coca Cola Distribution,GREAT LAKES COCA COLA DISTRIBUTION,Commercial Services,Master Override,Beverage Distribution,Master Override,424490,424490,Master Override,42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42449,Other Grocery and Related Products Merchant Wholesalers,424490,Other Grocery and Related Products Merchant Wholesalers,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,reyescocacola.com,Master Override,,,https://logos-api.apistemic.com/domain:reyescocacola.com,Computed from Company Website,https://img.logo.dev/reyescocacola.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Great Parks of Hamilton County,GREAT PARKS OF HAMILTON COUNTY,Municipal / Local Government,Segmentation Logic,Nature Parks,Verified Enrichment,712190,712190,Verified Enrichment,71,"Arts, Entertainment, and Recreation",712,"Museums, Historical Sites, and Similar Institutions",7121,"Museums, Historical Sites, and Similar Institutions",71219,Nature Parks and Other Similar Institutions,712190,Nature Parks and Other Similar Institutions,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,greatparks.org,Verified Enrichment,,,https://logos-api.apistemic.com/domain:greatparks.org,Computed from Company Website,https://img.logo.dev/greatparks.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Great Smoky Mountains Heritage Center,GREAT SMOKY MOUNTAINS HERITAGE CENTER,Non-Profit / Religious,Master Override,Museum,Master Override,712110,712110,Master Override,71,"Arts, Entertainment, and Recreation",712,"Museums, Historical Sites, and Similar Institutions",7121,"Museums, Historical Sites, and Similar Institutions",71211,Museums,712110,Museums,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,gsmheritagecenter.org,Master Override,,,https://logos-api.apistemic.com/domain:gsmheritagecenter.org,Computed from Company Website,https://img.logo.dev/gsmheritagecenter.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Greater Clark County Schools,GREATER CLARK COUNTY SCHOOLS,Public Schools (K–12),Master Override,Public School District,Master Override,611110,611110,Master Override,61,Educational Services,611,Educational Services,6111,Elementary and Secondary Schools,61111,Elementary and Secondary Schools,611110,Elementary and Secondary Schools,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,gccschools.com,Master Override,https://stgreen.blob.core.windows.net/logos/GREATER_CLARK_COUNTY_SCHOOLS.png,Master Logos,https://logos-api.apistemic.com/domain:gccschools.com,Computed from Company Website,https://img.logo.dev/gccschools.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,TRUE,2
Greater Dayton Surgery Center,GREATER DAYTON SURGERY CENTER,Healthcare / Senior Living,Segmentation Logic,Ambulatory Surgical Center,Verified Enrichment,621493,621493,Verified Enrichment,62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6214,Outpatient Care Centers,62149,Other Outpatient Care Centers,621493,Freestanding Ambulatory Surgical and Emergency Centers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,daytonsurgerycenter.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:daytonsurgerycenter.com,Computed from Company Website,https://img.logo.dev/daytonsurgerycenter.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Greater Faith Church,GREATER FAITH CHURCH,Non-Profit / Religious,Segmentation Logic,Religious Organization,Verified Enrichment,813110,813110,Verified Enrichment,81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8131,Religious Organizations,81311,Religious Organizations,813110,Religious Organizations,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,greaterfaithchurch.org,Verified Enrichment,,,https://logos-api.apistemic.com/domain:greaterfaithchurch.org,Computed from Company Website,https://img.logo.dev/greaterfaithchurch.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Greater Hamilton Civic Theater,GREATER HAMILTON CIVIC THEATER,Non-Profit / Religious,Master Override,Community Theater,Master Override,711110,711110,Master Override,71,"Arts, Entertainment, and Recreation",711,"Performing Arts, Spectator Sports, and Related Industries",7111,Performing Arts Companies,71111,Theater Companies and Dinner Theaters,711110,Theater Companies and Dinner Theaters,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,ghctplay.org,Master Override,,,https://logos-api.apistemic.com/domain:ghctplay.org,Computed from Company Website,https://img.logo.dev/ghctplay.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Green County Jail,GREEN COUNTY JAIL,Municipal / Local Government,Segmentation Logic,Correctional Institution,Verified Enrichment,922140,922140,Verified Enrichment,92,Public Administration,922,"Justice, Public Order, and Safety Activities",9221,"Justice, Public Order, and Safety Activities",92214,Correctional Institutions,922140,Correctional Institutions,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,co.greene.oh.us,Verified Enrichment,,,https://logos-api.apistemic.com/domain:co.greene.oh.us,Computed from Company Website,https://img.logo.dev/co.greene.oh.us?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Green Hills Grille,GREEN HILLS GRILLE,Commercial Services,Master Override,Restaurant,Master Override,722511,722511,Master Override,72,Accommodation and Food Services,722,Food Services and Drinking Places,7225,Restaurants and Other Eating Places,72251,Restaurants and Other Eating Places,722511,Full-Service Restaurants,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,ghgrille.com,Master Override,,,https://logos-api.apistemic.com/domain:ghgrille.com,Computed from Company Website,https://img.logo.dev/ghgrille.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Green Hills Office Partners,GREEN HILLS OFFICE PARTNERS,Commercial Real Estate,Segmentation Logic,Commercial Property Mgmt,Verified Enrichment,531312,531312,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531312,Nonresidential Property Managers,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,brooksideproperties.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:brooksideproperties.com,Computed from Company Website,https://img.logo.dev/brooksideproperties.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Green Tree Mall,GREEN TREE MALL,Commercial Real Estate,Master Override,Mall property,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Rule-Based,Final,High,Verified enrichment updated: Company Website,,,greentreemall.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:greentreemall.com,Computed from Company Website,https://img.logo.dev/greentreemall.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Greene County Ohio,GREENE COUNTY OHIO,Municipal / Local Government,Segmentation Logic,Local Government,Verified Enrichment,921110,921110,Verified Enrichment,92,Public Administration,921,"Executive, Legislative, and Other General Government Support",9211,"Executive, Legislative, and Other General Government Support",92111,Executive Offices,921110,Executive Offices,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,greenecountyohio.gov,Verified Enrichment,,,https://logos-api.apistemic.com/domain:greenecountyohio.gov,Computed from Company Website,https://img.logo.dev/greenecountyohio.gov?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Greene Crossings,GREENE CROSSINGS,Commercial Real Estate,Master Override,Property/site entity,Master Override,5311,5311,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,,,,,Heuristic,Final,High,Verified enrichment updated: Company Website,,,edgegp.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:edgegp.com,Computed from Company Website,https://img.logo.dev/edgegp.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Greenfield Global USA,GREENFIELD GLOBAL USA,Manufacturing,Master Override,Specialty Alcohols,Master Override,325193,325193,Master Override,31-33,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32519,Other Basic Organic Chemical Manufacturing,325193,Ethyl Alcohol Manufacturing,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,greenfield.com,Master Override,,,https://logos-api.apistemic.com/domain:greenfield.com,Computed from Company Website,https://img.logo.dev/greenfield.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Greenup County Fiscal Court,GREENUP COUNTY FISCAL COURT,Municipal / Local Government,Master Override,Local Government,Master Override,921110,921110,Master Override,92,Public Administration,921,"Executive, Legislative, and Other General Government Support",9211,"Executive, Legislative, and Other General Government Support",92111,Executive Offices,921110,Executive Offices,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,greenupcountyky.gov,Master Override,https://stgreen.blob.core.windows.net/logos/GREENUP_COUNTY_FISCAL_COURT.png,Master Logos,https://logos-api.apistemic.com/domain:greenupcountyky.gov,Computed from Company Website,https://img.logo.dev/greenupcountyky.gov?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,TRUE,2
Greif,GREIF,Manufacturing,Master Override,Industrial Packaging,Master Override,322211,322211,Master Override,31-33,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32221,Paperboard Container Manufacturing,322211,Corrugated and Solid Fiber Box Manufacturing,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,greif.com,Master Override,,,https://logos-api.apistemic.com/domain:greif.com,Computed from Company Website,https://img.logo.dev/greif.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Greyhound Tavern,GREYHOUND TAVERN,Commercial Services,Master Override,Restaurant,Master Override,722511,722511,Master Override,72,Accommodation and Food Services,722,Food Services and Drinking Places,7225,Restaurants and Other Eating Places,72251,Restaurants and Other Eating Places,722511,Full-Service Restaurants,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,greyhoundtavern.com,Master Override,,,https://logos-api.apistemic.com/domain:greyhoundtavern.com,Computed from Company Website,https://img.logo.dev/greyhoundtavern.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Griffin Elite Sports and Wellness,GRIFFIN ELITE SPORTS AND WELLNESS,Commercial Services,Master Override,Sports Training Facility,Master Override,713940,713940,Master Override,71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7139,Other Amusement and Recreation Industries,71394,Fitness and Recreational Sports Centers,713940,Fitness and Recreational Sports Centers,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,griffinelite.com,Master Override,,,https://logos-api.apistemic.com/domain:griffinelite.com,Computed from Company Website,https://img.logo.dev/griffinelite.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Griffin Powell Properties,GRIFFIN POWELL PROPERTIES,Commercial Real Estate,Segmentation Logic,Residential Rental Property,Verified Enrichment,531110,531110,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53111,Lessors of Residential Buildings and Dwellings,531110,Lessors of Residential Buildings and Dwellings,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail",,,,,,,,,,,Verified,,FALSE,1
Griffith Group,GRIFFITH GROUP,Commercial Real Estate,Master Override,Real Estate Investment,Master Override,531110,531110,Master Override,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53111,Lessors of Residential Buildings and Dwellings,531110,Lessors of Residential Buildings and Dwellings,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,,,,,,,,,Deferred,,FALSE,1
Grubb and Ellis Management Services,GRUBB AND ELLIS MANAGEMENT SERVICES,Commercial Services,Segmentation Logic,Legacy Property Mgmt,Verified Enrichment,531312,531312,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers,531312,Nonresidential Property Managers,Heuristic,,High,"Verified enrichment updated: NAICS, Industry Detail",,,,,,,,,,,Verified,,FALSE,1
Gw Richmond Excel,GW RICHMOND EXCEL,Manufacturing,Master Override,Automotive & Industrial Manufacturing Facility,Master Override,336,336,Master Override,31-33,Manufacturing,336,Transportation Equipment Manufacturing,,,,,,,Heuristic + Location,Final,High,Verified enrichment updated: Company Website,,,excelcenter.org,Verified Enrichment,,,https://logos-api.apistemic.com/domain:excelcenter.org,Computed from Company Website,https://img.logo.dev/excelcenter.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Gxo Logistics Supply Chain,GXO LOGISTICS SUPPLY CHAIN,Manufacturing,Master Override,Logistics & Warehousing,Master Override,493110,493110,Master Override,48-49,Transportation and Warehousing,493,Warehousing and Storage,4931,Warehousing and Storage,49311,General Warehousing and Storage,493110,General Warehousing and Storage,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,gxo.com,Master Override,,,https://logos-api.apistemic.com/domain:gxo.com,Computed from Company Website,https://img.logo.dev/gxo.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
H and H Designbuild,H AND H DESIGNBUILD,Construction,Segmentation Logic,Design-Build Construction,Verified Enrichment,236220,236220,Verified Enrichment,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23622,Commercial and Institutional Building Construction,236220,Commercial and Institutional Building Construction,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,hhdesignbuild.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:hhdesignbuild.com,Computed from Company Website,https://img.logo.dev/hhdesignbuild.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
H and H Properties,H AND H PROPERTIES,Commercial Real Estate,Segmentation Logic,Property Holding,Verified Enrichment,531120,531120,Verified Enrichment,53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail",,,,,,,,,,,Verified,,FALSE,1
H and R Block,H AND R BLOCK,Commercial Services,Master Override,Tax Preparation Services,Master Override,541213,541213,Master Override,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",54121,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",541213,Tax Preparation Services,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,hrblock.com,Master Override,,,https://logos-api.apistemic.com/domain:hrblock.com,Computed from Company Website,https://img.logo.dev/hrblock.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
H and W Management,H AND W MANAGEMENT,Commercial Services,Segmentation Logic,Hotel Management,Verified Enrichment,721110,721110,Verified Enrichment,72,Accommodation and Food Services,721,Accommodation,7211,Traveler Accommodation,72111,Hotels (except Casino Hotels) and Motels,721110,Hotels (except Casino Hotels) and Motels,Heuristic,,Low,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,hwhotels.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:hwhotels.com,Computed from Company Website,https://img.logo.dev/hwhotels.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Habegger Cac,HABEGGER CAC,Manufacturing,Master Override,HVAC Wholesale,Master Override,423730,423730,Master Override,42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",42373,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,habeggercorp.com,Master Override,,,https://logos-api.apistemic.com/domain:habeggercorp.com,Computed from Company Website,https://img.logo.dev/habeggercorp.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Habilitation Services,HABILITATION SERVICES,Healthcare / Senior Living,Master Override,Vocational Rehabilitation,Master Override,624310,624310,Master Override,62,Health Care and Social Assistance,624,Social Assistance,6243,Vocational Rehabilitation Services,62431,Vocational Rehabilitation Services,624310,Vocational Rehabilitation Services,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,sawinc.org,Master Override,,,https://logos-api.apistemic.com/domain:sawinc.org,Computed from Company Website,https://img.logo.dev/sawinc.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Habitat for Humanity Knoxville,HABITAT FOR HUMANITY KNOXVILLE,Non-Profit / Religious,Master Override,Housing nonprofit,Master Override,8133,8133,Master Override,81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8133,Social Advocacy Organizations,,,,,Entity Inference,Final,High,Verified enrichment updated: Company Website,,,knoxvillehabitat.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:knoxvillehabitat.com,Computed from Company Website,https://img.logo.dev/knoxvillehabitat.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Halpe Designbuild,HALPE DESIGNBUILD,Construction,Segmentation Logic,Engineering Consulting,Verified Enrichment,541330,541330,Verified Enrichment,54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",54133,Engineering Services,541330,Engineering Services,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,hal-pe.com,Verified Enrichment,,,https://logos-api.apistemic.com/domain:hal-pe.com,Computed from Company Website,https://img.logo.dev/hal-pe.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Hamilton Health Care System,HAMILTON HEALTH CARE SYSTEM,Healthcare / Senior Living,Segmentation Logic,General Medical & Surgical Hospitals,Verified Enrichment,622110,622110,Verified Enrichment,62,Health Care and Social Assistance,622,Hospitals,6221,General Medical and Surgical Hospitals,62211,General Medical and Surgical Hospitals,622110,General Medical and Surgical Hospitals,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,vitruvianhealth.org,Verified Enrichment,,,https://logos-api.apistemic.com/domain:vitruvianhealth.org,Computed from Company Website,https://img.logo.dev/vitruvianhealth.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Hamilton Safe,HAMILTON SAFE,Manufacturing,Master Override,Safes & Vaults Mfg,Master Override,332439,332439,Master Override,31-33,Manufacturing,332,Fabricated Metal Product Manufacturing,3324,"Boiler, Tank, and Shipping Container Manufacturing",33243,"Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing",332439,Other Metal Container Manufacturing,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,hamiltonsafe.com,Master Override,,,https://logos-api.apistemic.com/domain:hamiltonsafe.com,Computed from Company Website,https://img.logo.dev/hamiltonsafe.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,TRUE,2
Hamilton Township Trustees,HAMILTON TOWNSHIP TRUSTEES,Municipal / Local Government,Segmentation Logic,Local Government,Verified Enrichment,921110,921110,Verified Enrichment,92,Public Administration,921,"Executive, Legislative, and Other General Government Support",9211,"Executive, Legislative, and Other General Government Support",92111,Executive Offices,921110,Executive Offices,Rule-Based,,High,"Verified enrichment updated: NAICS, Industry Detail, Company Website",,,hamilton-township.org,Verified Enrichment,,,https://logos-api.apistemic.com/domain:hamilton-township.org,Computed from Company Website,https://img.logo.dev/hamilton-township.org?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,Verified,,FALSE,1
Hammacher Schlemmer,HAMMACHER SCHLEMMER,Commercial Services,Master Override,Online & Catalog Retail,Master Override,454110,454110,Master Override,44-45,Retail Trade,454,,4541,,45411,,454110,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,hammacher.com,Master Override,,,https://logos-api.apistemic.com/domain:hammacher.com,Computed from Company Website,https://img.logo.dev/hammacher.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Hampton Lumber Sales,HAMPTON LUMBER SALES,Manufacturing,Master Override,Sawmills,Master Override,321113,321113,Master Override,31-33,Manufacturing,321,Wood Product Manufacturing,3211,Sawmills and Wood Preservation,32111,Sawmills and Wood Preservation,321113,Sawmills,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,hamptonlumber.com,Master Override,,,https://logos-api.apistemic.com/domain:hamptonlumber.com,Computed from Company Website,https://img.logo.dev/hamptonlumber.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
Hanger,HANGER,Healthcare / Senior Living,Master Override,Orthotic & Prosthetic Mfg,Master Override,339113,339113,Master Override,31-33,Manufacturing,339,Miscellaneous Manufacturing,3391,Medical Equipment and Supplies Manufacturing,33911,Medical Equipment and Supplies Manufacturing,339113,Surgical Appliance and Supplies Manufacturing,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,hanger.com,Master Override,,,https://logos-api.apistemic.com/domain:hanger.com,Computed from Company Website,https://img.logo.dev/hanger.com?token=pk_Yv4hA7KWQbW2s7IqZpQ7bA&size=256&format=png&retina=true,Computed from Company Website,,,FALSE,1
