Industrial Group,Industry Detail,Count,Pct of Group
Commercial Services,Structural engineering services,1,0.15
Commercial Services,Title/settlement services,1,0.15
Commercial Services,HVAC Manufacturer Rep,1,0.15
Commercial Services,Hospitality operator,1,0.15
Commercial Services,E-commerce fulfillment,1,0.15
Commercial Services,Commercial real estate investment,1,0.15
Healthcare / Senior Living,Retirement Community,1,0.67
Commercial Services,Commercial property entity,1,0.15
Public Schools (K–12),Early childhood education,1,2.56
Manufacturing,Automotive (sales/ops),1,0.23
Manufacturing,Semiconductor manufacturing,1,0.23
Healthcare / Senior Living,Behavioral health services,1,0.67
Commercial Services,Energy services,1,0.15
Healthcare / Senior Living,Urgent Care Clinic,1,0.67
Manufacturing,Ink and Pigment Manufacturing,1,0.23
Healthcare / Senior Living,Senior living / nursing,1,0.67
Commercial Services,Auto dealer/group,1,0.15
Commercial Services,Car wash services,1,0.15
Commercial Services,Retail distribution center,1,0.15
Construction,HVAC contractor,1,0.43
Commercial Services,Recreation/fitness,1,0.15
Manufacturing,Specialty chemicals/materials,1,0.23
Manufacturing,Medical devices,1,0.23
Manufacturing,HVAC Pumping Systems,1,0.23
Manufacturing,Tactical Gear / Holsters,1,0.23
Healthcare / Senior Living,Community Health Center,1,0.67
Commercial Real Estate,Investment/property (unclear),1,0.35
Commercial Services,Retail Boutique,1,0.15
Commercial Real Estate,Retail property entity,1,0.35
Manufacturing,Packaging tapes,1,0.23
Commercial Services,Department Store,1,0.15
Commercial Services,3PL / Logistics,1,0.15
Commercial Services,Restaurant franchise,1,0.15
Manufacturing,Plastics compounds,1,0.23
Manufacturing,Scientific instruments,1,0.23
Commercial Services,(covered as TEKWORX),1,0.15
Manufacturing,Aerospace/electronics manufacturing,1,0.23
Commercial Services,Ag & Turf Supplies Dist,1,0.15
Non-Profit / Religious,Nonprofit social services,1,0.57
Commercial Real Estate,HOA/property association,1,0.35
Healthcare / Senior Living,Oncology practice,1,0.67
Commercial Services,Sporting goods retail (online),1,0.15
Commercial Services,Data Analytics Software,1,0.15
Commercial Services,Consulting/technology,1,0.15
Manufacturing,Machinery manufacturing,1,0.23
Manufacturing,Industrial chillers/HVAC equipment,1,0.23
Manufacturing,Industrial Finishing Systems,1,0.23
Commercial Services,Management consulting,1,0.15
Healthcare / Senior Living,Optometry / Eye Care,1,0.67
Manufacturing,Adhesives / Sealants Mfg,1,0.23
Construction,Sheet metal & HVAC,1,0.43
Manufacturing,Automotive shock absorbers,1,0.23
Public Schools (K–12),Public school,1,2.56
Commercial Services,Printing & graphics,1,0.15
Commercial Services,Truck sales & service,1,0.15
Financial Services,Trust / Estate,1,3.03
Commercial Services,Sports / Recreation,1,0.15
Manufacturing,Industrial fasteners,1,0.23
Construction,Building restoration,1,0.43
Commercial Real Estate,Condominium ownership,1,0.35
Commercial Services,Building Products Dist,1,0.15
Commercial Real Estate,Residential Property Managers,1,0.35
Manufacturing,Automotive Parts / Logistics,1,0.23
Commercial Services,Farm & ranch retail,1,0.15
Construction,Industrial Multi-Trade Contractor,1,0.43
Commercial Real Estate,Industrial Real Estate Mgmt,1,0.35
Commercial Services,Contract Management & Business Services,1,0.15
Commercial Services,Transportation asset pooling,1,0.15
Commercial Services,Automotive Aftermarket Distribution,1,0.15
Commercial Services,Motel,1,0.15
Commercial Real Estate,Real Estate Development & Property Services,1,0.35
Commercial Services,Time & Attendance Software / Workforce Solutions,1,0.15
Individual / Misc,General medical and surgical hospital,1,1.64
Healthcare / Senior Living,Senior Living & Post-Acute Care Provider,1,0.67
Commercial Services,Restaurant / pub,1,0.15
Commercial Real Estate,Property investment entity,1,0.35
Manufacturing,Commercial Refrigeration Mfg,1,0.23
Manufacturing,Apparel Manufacturing & Distribution,1,0.23
Manufacturing,Machine Shop,1,0.23
Manufacturing,Gear & Drive Systems Manufacturing,1,0.23
Commercial Real Estate,Multifamily housing developer,1,0.35
Commercial Services,Industrial supplies distribution,1,0.15
Commercial Services,Courier & Express Delivery,1,0.15
Commercial Services,Wireless telecommunications,1,0.15
Manufacturing,Zinc Chemicals Manufacturing,1,0.23
Financial Services,Financial Services,1,3.03
Commercial Services,Moving & storage,1,0.15
Energy Services,Energy research institute,1,7.69
Commercial Services,Uniform rental services,1,0.15
Construction,Building Construction Services,1,0.43
Commercial Services,Facility Services,1,0.15
Commercial Services,Commercial Services Provider,1,0.15
Commercial Services,Cold storage logistics,1,0.15
Commercial Services,Contract Transportation & Mobility Services,1,0.15
University / College,Academic medical center,1,4.35
University / College,Multi-specialty medical group,1,4.35
University / College,Private university,1,4.35
University / College,University research facility,1,4.35
Commercial Services,IT / Systems Integration,1,0.15
Manufacturing,Artisan Cheese Manufacturing,1,0.23
Municipal / Local Government,National Lab Operations & Federal R&D Management,1,0.9
Manufacturing,Aerospace components,1,0.23
Manufacturing,Printing & marketing services,1,0.23
Manufacturing,Electronics & Communication Equipment,1,0.23
Manufacturing,Automotive systems,1,0.23
Utilities,Fuel Distribution,1,3.03
Individual / Misc,Retail – Apparel,1,1.64
Manufacturing,Specialty chemicals,1,0.23
Healthcare / Senior Living,Radiation oncology,1,0.67
University / College,Private research university,1,4.35
Manufacturing,Truck Body & Crane Equipment Manufacturing,1,0.23
Energy Services,Energy services / ESCO,1,7.69
Construction,Fire protection systems,1,0.43
Individual / Misc,Retail Bakery & Food Service,1,1.64
Non-Profit / Religious,Performing arts nonprofit,1,0.57
Private Schools (K–12),Private Catholic School,1,8.33
Manufacturing,Windows & doors,1,0.23
Commercial Services,Facilities Management & Engineering Services,1,0.15
Financial Services,Title & Escrow Services,1,3.03
Healthcare / Senior Living,Optometry,1,0.67
Healthcare / Senior Living,Endocrinology Clinic,1,0.67
Healthcare / Senior Living,Acronym collision – insufficient context,1,0.67
Manufacturing,Industrial Automation Equipment,1,0.23
Non-Profit / Religious,Economic Development / Tourism,1,0.57
Non-Profit / Religious,Outdoor Recreation Organization,1,0.57
Manufacturing,Rail & industrial equipment,1,0.23
Commercial Services,Specialty Retail / Footwear & Accessories,1,0.15
Individual / Misc,Individual / Ambiguous,1,1.64
Manufacturing,Industrial Belting & Conveyor Products,1,0.23
Commercial Services,Business Services,1,0.15
Commercial Services,Coffee Roasting & Wholesaler,1,0.15
Commercial Services,Big Box Retail / Supercenter,1,0.15
Commercial Real Estate,Real Estate Management,1,0.35
Commercial Services,Warehouse consulting,1,0.15
Municipal / Local Government,Animal Shelter,1,0.9
Commercial Services,Artisan Chocolate Manufacturing & Retail,1,0.15
Utilities,Valves and Pipe Fittings Mfg,1,3.03
Manufacturing,Metal casting,1,0.23
Private Schools (K–12),Private school,1,8.33
Manufacturing,Industrial Automation Components,1,0.23
Commercial Real Estate,Property investment,1,0.35
University / College,Private University (Online),1,4.35
Financial Services,Insurance & Financial Services,1,3.03
Financial Services,Life Insurance Carrier,1,3.03
Non-Profit / Religious,Community services nonprofit,1,0.57
Non-Profit / Religious,Non-Profit Athletic Organization,1,0.57
Healthcare / Senior Living,Hospital system,1,0.67
Commercial Real Estate,Multifamily Residential Property,1,0.35
Commercial Real Estate,(blank),1,0.35
Commercial Real Estate,Hospitality Real Estate,1,0.35
Commercial Services,Logistics & Freight Forwarding,1,0.15
Commercial Services,Transportation & Logistics,1,0.15
Healthcare / Senior Living,Senior Living / Care Services,1,0.67
Manufacturing,Frozen Food Manufacturing,1,0.23
Manufacturing,Millwork & doors,1,0.23
Commercial Services,Freight Transportation & Logistics,1,0.15
Commercial Services,IT Systems Integration,1,0.15
Commercial Services,Television Broadcasting & Media,1,0.15
Commercial Services,Television broadcasting,1,0.15
Commercial Services,Equipment leasing,1,0.15
Manufacturing,Automotive Parts Manufacturing,1,0.23
Manufacturing,Automotive interiors,1,0.23
Manufacturing,Automotive fuel systems,1,0.23
Manufacturing,Automotive Stampings,1,0.23
Manufacturing,Architectural fenestration,1,0.23
Manufacturing,Automotive Manufacturing,1,0.23
Commercial Real Estate,Retail Real Estate Management,1,0.35
Commercial Services,Automobile Dealership,1,0.15
